"year_f","age","age_f","period","sex","n","mean_yday","sd_yday","mean_fl","sd_fl","se_fl","up","lo"
"1942","42","4[2]","Gilbert-Clemens","male",120,199.483333333333,12.310399602586,614.233333333333,25.6635415900997,2.34275010572827,618.825123540561,609.641543126106
"1942","52","5[2]","Gilbert-Clemens","female",45,213.244444444444,17.6650084985127,639.288888888889,23.3944653732675,3.4874409914594,646.124273232149,632.453504545628
"1942","52","5[2]","Gilbert-Clemens","male",41,199.829268292683,14.8759914611168,667.853658536585,28.3712539162528,4.43084545359804,676.538115625638,659.169201447533
"1942","53","5[3]","Gilbert-Clemens","female",479,207.162839248434,15.0700802625088,622.592901878914,21.3273752946529,0.974472650018766,624.502868272951,620.682935484878
"1942","53","5[3]","Gilbert-Clemens","male",379,203.662269129288,14.6239249547041,638.899736147757,23.9811538644607,1.23182913169232,641.314121245874,636.48535104964
"1942","63","6[3]","Gilbert-Clemens","female",21,215.904761904762,19.3388333720128,664.095238095238,28.5480380445045,6.22969263244862,676.305435654837,651.885040535639
"1942","63","6[3]","Gilbert-Clemens","male",46,210.45652173913,14.0027085026658,689.630434782609,19.1454766292803,2.82284652573896,695.163213973057,684.09765559216
"1943","42","4[2]","Gilbert-Clemens","female",34,207.029411764706,10.1129538715021,570.735294117647,21.3261950512842,3.65741227776841,577.903822182073,563.566766053221
"1943","42","4[2]","Gilbert-Clemens","male",35,210.142857142857,10.7898177958308,587.771428571429,20.9959179706097,3.54895788095834,594.727386018107,580.81547112475
"1943","52","5[2]","Gilbert-Clemens","female",56,203.571428571429,9.78655319183539,636.071428571429,23.6565248680183,3.16123610777936,642.267451342676,629.875405800181
"1943","52","5[2]","Gilbert-Clemens","male",115,200.64347826087,8.80110768980279,669.939130434783,25.7359353367675,2.39988834460975,674.642911590218,665.235349279347
"1943","53","5[3]","Gilbert-Clemens","female",466,209.678111587983,9.63659208246699,601.87339055794,21.1500288539379,0.97975616713741,603.793712645529,599.953068470351
"1943","53","5[3]","Gilbert-Clemens","male",411,208.160583941606,9.89671064593686,618.165450121655,24.5518242028396,1.21105217739276,620.539112389344,615.791787853965
"1943","63","6[3]","Gilbert-Clemens","female",48,209.666666666667,9.25371307496396,662.479166666667,28.1016313476133,4.05612110580304,670.429164034041,654.529169299293
"1943","63","6[3]","Gilbert-Clemens","male",140,206.942857142857,9.61845605146571,695.528571428571,26.198314750881,2.21416171784239,699.868328395543,691.1888144616
"1944","42","4[2]","Gilbert-Clemens","female",105,192.238095238095,11.8618034443495,582.790476190476,18.6546010194305,1.82050264956881,586.358661383631,579.222290997321
